nameCanvas,nameMapleTA,courseNameMapleTA
1.1 Understanding This Course,1.1 Understanding This Course,
1.2 SolidWorks & Technology Setup,1.2 SolidWorks & Technology Setup,
1.3 Personal Study Plan,1.3 Personal Study Plan,
1.4 Discussion Participation,1.4 Discussion Participation,
"2.1 Units, Drawings, Sheet Sizes, Scales","2.1 Units, Drawings, Sheet Sizes, Scales",
2.2 Orthographic Projection,2.2 Orthographic Projection,
"2.3 True Size & Shape, Auxiliary Views, Section Views","2.3 True Size & Shape, Auxiliary Views, Section Views",
"2.4 Line types, Radius & Diameter, Holes Types, Threads","2.4 Line types, Radius & Diameter, Holes Types, Threads",
2.5 Ponder,2.5 Ponder,
2.6 Prove,2.6 Prove Exercise,
"3.1 Organization, Downloading files, Zip files","3.1 Organization, Downloading files, Zip files",
3.2 SolidWorks User Interface,3.2 SolidWorks User Interface,
"3.3 SolidWorks Settings, Materials, Mass Properties, Measure Tool","3.3 SolidWorks Settings, Materials, Mass Properties, Measure Tool",
3.4 Accuracy and Significant Figures,3.4 Accuracy and Significant Figures,
3.5 Ponder,3.5 Ponder,
3.6 Prove,3.6 Ponder,
OPTIONAL: Unit 03 Extra Credit,3.7 Prove,
4.1 Introduction to Sketch Based Modeling,4.1 Introduction to Sketch Based Modeling,
4.2 Basic Sketch Tools and Design Intent,4.2 Basic Sketch Tools and Design Intent,
4.3 Geometric Relations and Dimensions Within Sketches,4.3 Geometric Relations and Dimensions Within Sketches,
4.4 Fillet and Trim Sketch Tools,4.4 Fillet and Trim Sketch Tools,
4.5 Ponder,4.5 Ponder,
4.6 Prove,4.6 Ponder,
OPTIONAL: Unit 04 Extra Credit,4.7 Prove,
"5.1 Extrude Features, Feature Manager, Parent/Child Rel, Editing Features","5.1 Extrude Features, Feature Manager, Parent/Child Rel, Editing Features",
"5.2 Revolve Features, Axis of Revolution, Linear Diameter Dimensions","5.2 Revolve Features, Axis of Revolution, Linear Diameter Dimensions",
"5.3 Fillet, Chamfer, and Mirror Features","5.3 Fillet, Chamfer, and Mirror Features",
5.4 Design Intent and Extrusion Depth,5.4 Design Intent and Extrusion Depth,
5.5 Ponder,5.5 Ponder,
5.6 Prove,5.6 Ponder,
OPTIONAL: Unit 05 Extra Credit,5.7 Prove,
"6.1 Assembly Intro, Insert, Fixed/Float, Coincident Mates, Master Model","6.1 Assembly Intro, Insert, Fixed/Float, Coincident Mates, Master Model",
6.2 Cylindrical Mates and Temporary Axes,6.2 Cylindrical Mates and Temporary Axes,
6.3 Distance and Angle Mates,6.3 Distance and Angle Mates,
6.4 Positioning the First Component and Accessing Planes,6.4 Positioning the First Component and Accessing Planes,
6.5 Ponder,6.5 Ponder,
6.6 Prove,6.6 Ponder,
OPTIONAL: Unit 06 Extra Credit,6.7 Prove,
"7.1 Convert Entities, Offset Entities, Extrude Depth Offset From Surface","7.1 Convert Entities, Offset Entities, Extrude Depth Offset From Surface",
"7.2 Mirror, Polygon, Thin Feature, Up to Next","7.2 Mirror, Polygon, Thin Feature, Up to Next",
7.3 Holes and Circular Patterns,7.3 Holes and Circular Patterns,
7.4 Understanding Feature Order,7.4 Understanding Feature Order,
7.5 Ponder,7.5 Ponder,
7.6 Prove,7.6 Ponder,
